GRIMM Diameter, Qscat (1.54 + 0.01)
    2.1, 2.19067072868
   2.11, 2.18725156784
   2.12, 2.12658977509
   2.13, 2.06703162193
   2.14, 2.03764152527
   2.15, 2.04305791855
   2.16, 2.08772873878
   2.17, 2.17150425911
   2.18, 2.26522707939
   2.19, 2.31469130516
    2.2, 2.31174612045
   2.21, 2.29203534126
   2.22, 2.27924776077
   2.23,  2.2811062336
   2.24, 2.30174064636
   2.25, 2.33802938461
   2.26, 2.34783172607
   2.27, 2.29836726189
   2.28, 2.24295401573
   2.29, 2.21156191826
    2.3, 2.20660543442
   2.31, 2.23222494125
   2.32, 2.29555797577
   2.33, 2.38616609573
   2.34, 2.44843006134
   2.35, 2.44847679138
   2.36, 2.42721366882
   2.37, 2.41740942001
   2.38, 2.42430448532
   2.39, 2.44703435898
    2.4, 2.48441028595
   2.41, 2.51517319679
   2.42, 2.50799107552
   2.43, 2.48943519592
   2.44,  2.4822409153
   2.45, 2.48926687241
   2.46, 2.51364827156
   2.47, 2.56309342384
   2.48, 2.64317560196
   2.49, 2.72843933105
    2.5, 2.77152585983
   2.51,   2.788002491
   2.52, 2.81024456024
   2.53, 2.84431886673
   2.54, 2.88736367226
   2.55, 2.93679594994
   2.56, 2.98471236229
   2.57, 3.01729369164
   2.58, 3.04204010963
   2.59, 3.06830310822
    2.6, 3.09849953651
   2.61,  3.1355881691
   2.62,  3.1851952076
   2.63,  3.2533967495
   2.64, 3.32905507088
   2.65, 3.37460589409
   2.66, 3.39680457115
   2.67, 3.42524266243
   2.68, 3.46422505379
   2.69, 3.50783586502
    2.7, 3.54832792282
   2.71, 3.58233761787
   2.72, 3.62185907364
   2.73, 3.66719245911
   2.74, 3.70948553085
   2.75, 3.74664878845
   2.76, 3.77945923805
   2.77, 3.80927062035
   2.78, 3.83727812767
   2.79, 3.86190676689
    2.8,  3.8778128624
   2.81,  3.8893289566
   2.82, 3.90426182747
   2.83, 3.92344880104
   2.84, 3.94361948967
   2.85, 3.95780062675
   2.86, 3.96565771103
   2.87, 3.98820471764
   2.88, 4.02331495285
   2.89, 4.05743837357
    2.9, 4.08738660812
   2.91,  4.1135559082
   2.92, 4.13616466522
   2.93, 4.15278577805
   2.94,  4.1538066864
   2.95, 4.13327789307
   2.96, 4.11298799515
   2.97, 4.10401630402
   2.98, 4.10338163376
   2.99, 4.10780668259
      3, 4.11124753952
   3.01, 4.11266279221
   3.02, 4.12831735611
   3.03, 4.15669584274
   3.04, 4.18756151199
   3.05, 4.21780490875
   3.06, 4.24705648422
   3.07,  4.2745256424
   3.08, 4.29617738724
   3.09, 4.30092668533
    3.1, 4.28030157089
   3.11, 4.24910116196
   3.12, 4.21702480316
   3.13, 4.18763780594
   3.14, 4.16516256332
   3.15, 4.14847135544
   3.16, 4.13903474808
   3.17, 4.14966487885
   3.18, 4.17654848099
   3.19, 4.21028709412
    3.2, 4.24719572067
   3.21, 4.28681707382
   3.22, 4.32986354828
   3.23, 4.37564945221
   3.24, 4.41642475128
   3.25, 4.43990182877
   3.26, 4.45010328293
   3.27, 4.45037174225
   3.28,  4.4406876564
   3.29, 4.42637491226
    3.3, 4.41250944138
   3.31, 4.40640115738
   3.32, 4.41767883301
   3.33,   4.443775177
   3.34, 4.47895288467
   3.35, 4.52000284195
   3.36, 4.56570386887
   3.37, 4.61604881287
   3.38, 4.67049312592
   3.39, 4.72449970245
    3.4, 4.77323961258
   3.41, 4.81710672379
   3.42, 4.84783649445
   3.43, 4.85737514496
   3.44, 4.84724712372
   3.45,  4.8241109848
   3.46, 4.80106544495
   3.47, 4.78998565674
   3.48,  4.7895526886
   3.49, 4.79594039917
    3.5, 4.80716609955
   3.51, 4.82258081436
   3.52, 4.84221172333
   3.53, 4.86522817612
   3.54, 4.88755178452
   3.55, 4.90845060349
   3.56, 4.93272638321
   3.57, 4.95406723022
   3.58,  4.9613571167
   3.59, 4.94952297211
    3.6, 4.92249155045
   3.61, 4.89303016663
