GRIMM Diameter, Qscat (1.54 + 0)
    2.1, 3.36156582832
   2.11, 3.71324658394
   2.12, 3.12593317032
   2.13, 2.84924936295
   2.14, 2.76761293411
   2.15, 2.78244376183
   2.16,  2.8988609314
   2.17, 3.17942357063
   2.18, 3.59685492516
   2.19, 3.69563317299
    2.2, 3.45934700966
   2.21, 3.26272010803
   2.22, 3.16214466095
   2.23, 3.13473844528
   2.24, 3.19844889641
   2.25, 3.54016900063
   2.26, 4.27002191544
   2.27,  3.4564948082
   2.28, 3.14614105225
   2.29, 3.07035851479
    2.3,  3.0756585598
   2.31, 3.15397667885
   2.32, 3.37146115303
   2.33, 3.87651205063
   2.34, 4.26430559158
   2.35, 3.88007307053
   2.36, 3.56939339638
   2.37, 3.44284796715
   2.38, 3.40993094444
   2.39, 3.44769883156
    2.4, 3.67074942589
   2.41, 4.64864826202
   2.42, 3.80620646477
   2.43, 3.55158925056
   2.44, 3.51675128937
   2.45, 3.54137516022
   2.46, 3.60949087143
   2.47, 3.75440645218
   2.48, 4.12970352173
   2.49, 4.87277793884
    2.5, 4.55782318115
   2.51, 4.18539571762
   2.52, 4.07362031937
   2.53, 4.06292152405
   2.54, 4.11032247543
   2.55,  4.2858748436
   2.56, 5.44405937195
   2.57, 4.51053953171
   2.58,  4.3433971405
   2.59, 4.35878896713
    2.6, 4.41835784912
   2.61, 4.50970602036
   2.62, 4.65145492554
   2.63, 4.94726037979
   2.64, 5.85514450073
   2.65,  5.6509680748
   2.66,  5.1349811554
   2.67,  5.0191822052
   2.68, 5.00845432281
   2.69, 5.04843854904
    2.7, 5.18252801895
   2.71, 6.25222349167
   2.72, 5.26208877563
   2.73, 5.22799348831
   2.74, 5.28389406204
   2.75, 5.36368227005
   2.76, 5.46406888962
   2.77, 5.59430742264
   2.78, 5.80165433884
   2.79, 6.46843242645
    2.8, 6.48709535599
   2.81, 5.97119235992
   2.82, 5.86145019531
   2.83, 5.81902122498
   2.84, 5.81747770309
   2.85, 5.91281414032
   2.86, 6.99742746353
   2.87, 5.79726266861
   2.88, 5.80137109756
   2.89, 5.84483146667
    2.9,  5.9063410759
   2.91, 5.99119377136
   2.92,  6.1130604744
   2.93, 6.31653356552
   2.94, 6.98321199417
   2.95, 6.93816375732
   2.96, 6.39362049103
   2.97, 6.30587148666
   2.98, 6.24513959885
   2.99, 6.21732759476
      3, 6.30108642578
   3.01, 6.71077346802
   3.02, 6.10342741013
   3.03, 6.12684392929
   3.04, 6.16607141495
   3.05, 6.22181367874
   3.06, 6.30424213409
   3.07, 6.42945194244
   3.08, 6.63519334793
   3.09, 7.25347948074
    3.1,   7.231569767
   3.11, 6.88761711121
   3.12, 6.80056715012
   3.13, 6.66601228714
   3.14, 6.55665445328
   3.15, 6.60872650146
   3.16, 6.41488647461
   3.17, 6.32175064087
   3.18,  6.3369512558
   3.19, 6.36192941666
    3.2, 6.40044593811
   3.21, 6.46273565292
   3.22, 6.56733083725
