GRIMM Diameter, Qscat (1.33 + 0)
    2.1, 3.06547141075
   2.11, 3.05749416351
   2.12, 3.06138491631
   2.13, 3.07945609093
   2.14, 3.11366224289
   2.15, 3.16526532173
   2.16, 3.23431277275
   2.17, 3.31873631477
   2.18, 3.41317749023
   2.19,  3.5079934597
    2.2, 3.58996343613
   2.21, 3.64614081383
   2.22, 3.66995310783
   2.23, 3.66447615623
   2.24, 3.63957500458
   2.25, 3.60588693619
   2.26, 3.57120776176
   2.27, 3.54042887688
   2.28, 3.51716709137
   2.29,  3.5050110817
    2.3, 3.50785565376
   2.31, 3.52975392342
   2.32,  3.5743997097
   2.33, 3.64455080032
   2.34, 3.74101233482
   2.35,  3.8608314991
   2.36, 3.99472522736
   2.37, 4.12515687943
   2.38, 4.22912359238
   2.39, 4.28833150864
    2.4, 4.30034208298
   2.41, 4.27832174301
   2.42, 4.23954105377
   2.43, 4.19589996338
   2.44, 4.15295553207
   2.45,  4.1136264801
   2.46, 4.08135461807
   2.47, 4.06122779846
   2.48, 4.05949401855
   2.49, 4.08271121979
    2.5, 4.13686037064
   2.51, 4.22637414932
   2.52, 4.35213088989
   2.53, 4.50768232346
   2.54, 4.67400074005
   2.55, 4.81802415848
   2.56,  4.9047832489
   2.57, 4.92126560211
   2.58, 4.88517332077
   2.59, 4.82536840439
    2.6, 4.76018190384
   2.61, 4.69426107407
   2.62, 4.62678766251
   2.63, 4.55893516541
   2.64, 4.49624538422
   2.65, 4.44741249084
   2.66, 4.42226362228
   2.67, 4.43020963669
   2.68, 4.47943210602
   2.69, 4.57553195953
    2.7, 4.71778678894
   2.71, 4.89139127731
   2.72, 5.05895423889
   2.73,  5.1675620079
   2.74, 5.18568944931
   2.75, 5.13320827484
   2.76, 5.05576848984
   2.77, 4.98157644272
   2.78,  4.9125585556
   2.79, 4.84012556076
    2.8, 4.76010417938
   2.81, 4.67789459229
   2.82,  4.6058011055
   2.83,  4.5583281517
   2.84, 4.54923915863
   2.85, 4.59089517593
   2.86, 4.69391679764
   2.87, 4.86434459686
