GRIMM Diameter, Qscat (1.54 + 0.003)
    2.1, 2.88792467117
   2.11,  2.9931037426
   2.12, 2.74867963791
   2.13,  2.5803797245
   2.14, 2.51957392693
   2.15, 2.53076672554
   2.16,   2.619784832
   2.17, 2.81406593323
   2.18, 3.06455731392
   2.19, 3.14297986031
    2.2, 3.03665947914
   2.21, 2.92500901222
   2.22, 2.86254930496
   2.23, 2.84845709801
   2.24, 2.89731287956
   2.25, 3.07869338989
   2.26,  3.2748029232
   2.27, 3.01321959496
   2.28, 2.83659100533
   2.29, 2.77721118927
    2.3, 2.77731132507
   2.31, 2.83550333977
   2.32, 2.98943161964
   2.33, 3.27791237831
   2.34, 3.46819877625
   2.35,  3.3260447979
   2.36, 3.16574597359
   2.37, 3.09063196182
   2.38, 3.07466602325
   2.39, 3.10839271545
    2.4, 3.23878192902
   2.41, 3.47705459595
   2.42, 3.30737996101
   2.43, 3.18642544746
   2.44, 3.16145277023
   2.45, 3.17721915245
   2.46, 3.22700619698
   2.47, 3.33346819878
   2.48, 3.56304764748
   2.49, 3.87394070625
    2.5,  3.8260281086
   2.51, 3.68264913559
   2.52, 3.63377785683
   2.53, 3.64319753647
   2.54, 3.69064092636
   2.55, 3.80123615265
   2.56,   4.024933815
   2.57, 3.94112086296
   2.58, 3.89444422722
   2.59, 3.91517710686
    2.6, 3.96202087402
   2.61, 4.03036355972
   2.62, 4.13379859924
   2.63, 4.32313251495
   2.64, 4.65756702423
   2.65, 4.66281366348
   2.66,  4.5002207756
   2.67,   4.454829216
   2.68, 4.46764755249
   2.69, 4.51065731049
    2.7, 4.58573532104
   2.71, 4.68186235428
   2.72, 4.65382766724
   2.73, 4.68649768829
   2.74, 4.74173784256
   2.75, 4.80530405045
   2.76, 4.87739610672
   2.77, 4.96325445175
   2.78, 5.08232736588
   2.79,  5.2849240303
    2.8, 5.31142473221
   2.81, 5.19296598434
   2.82, 5.15089416504
   2.83, 5.14059114456
   2.84, 5.15109682083
   2.85, 5.18378257751
   2.86,  5.1700592041
   2.87, 5.13944864273
   2.88, 5.17977619171
   2.89, 5.22563076019
    2.9, 5.27715539932
   2.91, 5.33932495117
   2.92, 5.41965770721
   2.93,  5.5355463028
   2.94, 5.72195053101
   2.95, 5.67143344879
   2.96, 5.53535556793
   2.97, 5.49061107635
   2.98, 5.46358251572
   2.99, 5.45463943481
      3, 5.47040081024
   3.01, 5.40954113007
   3.02, 5.39310598373
   3.03, 5.43116426468
   3.04, 5.47300338745
   3.05, 5.52263402939
   3.06, 5.58666324615
   3.07, 5.67332315445
   3.08,  5.7965798378
   3.09, 5.98244094849
    3.1, 5.96064710617
   3.11, 5.87335348129
   3.12, 5.81357336044
   3.13, 5.73690128326
   3.14, 5.67501783371
   3.15, 5.64765024185
   3.16, 5.54028558731
   3.17, 5.53436326981
   3.18, 5.56289339066
   3.19, 5.59766960144
    3.2, 5.64110422134
   3.21, 5.69955158234
   3.22, 5.78412008286
   3.23, 5.91660451889
   3.24, 6.14259147644
   3.25, 6.19835662842
   3.26, 6.24338912964
   3.27, 6.28832149506
   3.28, 6.26363992691
   3.29, 6.20786142349
    3.3, 6.15911149979
   3.31, 6.05689382553
   3.32, 6.05141687393
   3.33, 6.06656265259
   3.34, 6.09014558792
   3.35, 6.12209892273
   3.36, 6.16689538956
   3.37, 6.23463535309
   3.38, 6.34590435028
   3.39, 6.52916288376
    3.4, 6.60928964615
   3.41, 6.77796554565
   3.42, 6.93335962296
   3.43, 6.98298358917
   3.44, 6.94672584534
   3.45, 6.85589647293
   3.46, 6.74074220657
   3.47, 6.71607351303
   3.48, 6.69988155365
   3.49, 6.68361520767
    3.5, 6.66839075089
   3.51, 6.66035699844
   3.52, 6.67014980316
   3.53, 6.71860218048
   3.54, 6.80691242218
   3.55, 6.80797243118
   3.56, 6.95186758041
   3.57,  7.1298828125
   3.58,  7.2395734787
   3.59, 7.23687458038
    3.6, 7.12123918533
   3.61, 7.03450536728
   3.62, 7.00285482407
   3.63,  6.9783039093
   3.64, 6.94465589523
   3.65, 6.90177297592
   3.66, 6.86065006256
   3.67, 6.83708620071
   3.68, 6.85470533371
   3.69, 6.87399721146
    3.7, 6.88228130341
   3.71, 7.01871871948
   3.72, 7.22316837311
   3.73, 7.40313434601
   3.74, 7.43100547791
   3.75, 7.28240013123
   3.76, 7.17147827148
   3.77, 7.12256717682
   3.78, 7.09984445572
   3.79, 7.06498765945
    3.8, 7.00486469269
   3.81, 6.93483638763
   3.82,  6.8819694519
   3.83,  6.8750333786
   3.84, 6.85172510147
   3.85, 6.88254022598
   3.86, 7.00261735916
   3.87, 7.20578718185
   3.88, 7.45565700531
   3.89, 7.59027910233
    3.9, 7.52011299133
   3.91,  7.4455499649
   3.92, 7.44777917862
   3.93, 7.50434827805
   3.94,  7.5499253273
   3.95, 7.53322601318
   3.96, 7.45810985565
   3.97, 7.37098503113
   3.98, 7.31842947006
   3.99, 7.25629425049
      4, 7.26499843597
   4.01, 7.34131765366
   4.02,  7.4975771904
   4.03, 7.74893140793
   4.04, 7.98637962341
   4.05, 8.03527355194
   4.06, 7.98990058899
   4.07, 8.01065731049
   4.08, 8.12372684479
   4.09, 8.27861976624
    4.1, 8.38997936249
   4.11, 8.40504837036
   4.12, 8.35512256622
   4.13, 8.29111671448
   4.14, 8.23975849152
   4.15, 8.24575328827
   4.16,  8.3013381958
   4.17, 8.41295051575
   4.18, 8.59645938873
   4.19, 8.81263923645
    4.2, 8.92425441742
   4.21, 8.89952850342
   4.22, 8.90278530121
   4.23, 8.98875904083
   4.24, 9.13809490204
   4.25,  9.2817401886
   4.26, 9.32416439056
   4.27, 9.25562572479
   4.28, 9.12679576874
   4.29, 9.02690601349
    4.3, 8.98582363129
   4.31, 8.99858570099
   4.32, 9.06203269958
   4.33, 9.16594982147
   4.34, 9.30149459839
   4.35,  9.4061832428
   4.36, 9.42746925354
   4.37, 9.46600532532
   4.38, 9.56194210052
   4.39, 9.70939350128
    4.4, 9.87240123749
   4.41, 9.95011615753
   4.42, 9.86285018921
   4.43, 9.66917324066
   4.44, 9.50026226044
   4.45, 9.39377403259
   4.46, 9.35451793671
   4.47, 9.38231563568
   4.48, 9.46426963806
   4.49, 9.59721946716
    4.5, 9.69250583649
   4.51, 9.67468452454
   4.52, 9.71475982666
   4.53,  9.8492269516
   4.54,  10.053442955
   4.55, 10.3149061203
   4.56, 10.5574893951
   4.57, 10.5815172195
   4.58, 10.3677492142
   4.59, 10.1271562576
    4.6, 9.95345687866
   4.61, 9.85513973236
   4.62, 9.82594203949
   4.63, 9.86475658417
   4.64, 9.96886730194
   4.65, 10.0716114044
   4.66, 10.0441818237
   4.67,  10.064040184
   4.68, 10.1988124847
   4.69,  10.404091835
    4.7, 10.6778621674
   4.71, 11.0129880905
   4.72, 11.2554664612
   4.73, 11.2052640915
   4.74, 11.0174264908
   4.75, 10.8667345047
   4.76, 10.7708673477
   4.77, 10.7261171341
   4.78, 10.7418870926
   4.79, 10.8219919205
    4.8, 10.9189710617
   4.81, 10.8589019775
   4.82, 10.8234872818
   4.83, 10.9433269501
   4.84, 11.1365194321
   4.85, 11.3923034668
   4.86, 11.7274036407
   4.87, 12.0939540863
   4.88, 12.2154569626
   4.89, 12.0622644424
    4.9, 11.9171981812
   4.91, 11.8183116913
   4.92, 11.7511348724
   4.93, 11.7254209518
   4.94, 11.7570447922
   4.95, 11.8258295059
   4.96, 11.7480554581
   4.97, 11.6418056488
   4.98,  11.729347229
   4.99, 11.8966636658
      5, 12.1112651825
   5.01, 12.3833732605
   5.02, 12.7199726105
   5.03, 12.9463729858
   5.04, 12.8646640778
   5.05, 12.7496757507
   5.06, 12.6596412659
   5.07, 12.5547485352
   5.08, 12.4486961365
   5.09, 12.3761348724
    5.1, 12.3485593796
   5.11, 12.1946601868
   5.12, 11.9281225204
   5.13, 11.9056606293
   5.14, 12.0001125336
   5.15, 12.1552295685
   5.16, 12.3783149719
   5.17, 12.6945161819
   5.18, 13.0158443451
   5.19, 12.9937171936
    5.2, 12.8729896545
   5.21, 12.8320474625
   5.22, 12.7726678848
   5.23, 12.6801023483
   5.24, 12.5890073776
   5.25,  12.530503273
   5.26, 12.4034662247
   5.27, 12.1067762375
   5.28, 12.0033254623
   5.29, 12.0245504379
    5.3, 12.1164388657
   5.31, 12.2830514908
   5.32,  12.551448822
   5.33,  12.924697876
   5.34, 13.1059799194
   5.35, 13.0676422119
   5.36, 13.1114711761
   5.37, 13.1259393692
   5.38, 13.0675086975
   5.39, 12.9780502319
    5.4,  12.908993721
   5.41, 12.8187017441
   5.42, 12.5411529541
   5.43, 12.3871660233
   5.44, 12.3544988632
   5.45, 12.3956136703
   5.46, 12.5084486008
   5.47, 12.7109889984
   5.48,  13.035826683
   5.49, 13.3453321457
    5.5, 13.4126367569
   5.51, 13.5511655807
   5.52, 13.6968259811
   5.53, 13.7567625046
   5.54, 13.7461423874
   5.55, 13.7154159546
   5.56, 13.6612052917
   5.57, 13.4526500702
   5.58, 13.2907752991
   5.59, 13.2079563141
    5.6, 13.1811685562
   5.61, 13.2160348892
   5.62, 13.3283224106
   5.63, 13.5473690033
   5.64, 13.8290462494
   5.65, 13.9372940063
   5.66, 14.1119947433
   5.67, 14.3529262543
   5.68, 14.5385313034
   5.69, 14.6380500793
    5.7, 14.6856079102
   5.71, 14.6898880005
   5.72, 14.5290212631
   5.73, 14.3485059738
   5.74, 14.2020921707
   5.75, 14.0859212875
   5.76, 14.0171813965
   5.77,  14.017865181
   5.78, 14.1164550781
   5.79, 14.3050117493
    5.8, 14.3730506897
   5.81, 14.4794082642
   5.82,  14.675280571
   5.83, 14.8600416183
   5.84, 14.9953775406
   5.85, 15.1034049988
   5.86, 15.1842317581
   5.87,  15.114900589
   5.88, 14.9840192795
   5.89, 14.8343324661
    5.9, 14.6730089188
   5.91, 14.5289325714
   5.92,  14.435051918
   5.93, 14.4279403687
   5.94, 14.5300664902
   5.95, 14.5683221817
   5.96, 14.6177330017
   5.97,  14.771399498
   5.98,  14.947769165
   5.99, 15.0993833542
      6, 15.2410945892
   6.01, 15.3799600601
   6.02, 15.4181375504
   6.03, 15.3731651306
   6.04, 15.2667922974
   6.05, 15.1164264679
   6.06,  14.959769249
   6.07, 14.8367614746
   6.08, 14.7879457474
   6.09, 14.8496160507
    6.1, 14.9195137024
   6.11, 15.0178489685
   6.12, 15.2196674347
   6.13, 15.4449081421
   6.14, 15.6316823959
   6.15, 15.8169689178
   6.16, 16.0409660339
   6.17,  16.228055954
   6.18, 16.3471183777
   6.19, 16.3644351959
    6.2, 16.2811641693
   6.21, 16.1399364471
   6.22, 15.9896497726
   6.23, 15.8762435913
   6.24, 15.8458938599
   6.25, 15.8503627777
   6.26, 15.8883905411
   6.27, 16.0242023468
   6.28, 16.2009925842
   6.29, 16.3560848236
    6.3, 16.5288276672
   6.31, 16.7848682404
   6.32, 17.0797901154
   6.33, 17.3538265228
   6.34, 17.5297222137
   6.35, 17.5753364563
   6.36, 17.5273914337
   6.37, 17.4391613007
   6.38, 17.3490180969
   6.39, 17.2887878418
    6.4, 17.2440242767
   6.41, 17.2320365906
   6.42, 17.2966499329
   6.43, 17.3983745575
   6.44, 17.4548301697
   6.45, 17.4893074036
   6.46, 17.6385536194
   6.47, 17.9014835358
   6.48, 18.2105617523
   6.49, 18.4588928223
    6.5, 18.5634784698
   6.51, 18.5407562256
   6.52, 18.4641189575
   6.53, 18.3803215027
   6.54, 18.3098239899
   6.55, 18.2329006195
   6.56, 18.1706809998
   6.57, 18.1671962738
   6.58, 18.1972866058
   6.59, 18.1622161865
    6.6, 18.0272445679
   6.61, 18.0117435455
   6.62, 18.1984539032
   6.63, 18.5078907013
   6.64, 18.8223457336
   6.65,   19.00598526
   6.66, 19.0043697357
   6.67, 18.9053173065
   6.68,  18.797039032
   6.69, 18.7011737823
    6.7, 18.5962562561
   6.71, 18.4959468842
   6.72, 18.4436779022
   6.73, 18.4504146576
   6.74, 18.4494094849
   6.75, 18.2927951813
