Cdia, CQs, CSQs, Mdia, MQs, MSQs
0.940000, 0.516275, 1.062465, 0.940000, 1.326412, 1.099825
0.950000, 0.530769, 1.079636, 0.950000, 1.396390, 1.117219
0.960000, 0.546804, 1.096761, 0.960000, 1.449723, 1.134732
0.970000, 0.563891, 1.113843, 0.970000, 1.472820, 1.152364
0.980000, 0.581442, 1.130882, 0.980000, 1.474281, 1.170114
0.990000, 0.598879, 1.147878, 0.990000, 1.472201, 1.187982
1.000000, 0.615712, 1.164834, 1.000000, 1.474861, 1.205969
1.010000, 0.631607, 1.181750, 1.010000, 1.480476, 1.224073
1.020000, 0.646401, 1.198626, 1.020000, 1.484740, 1.242295
1.030000, 0.660113, 1.215465, 1.030000, 1.485548, 1.260635
1.040000, 0.672917, 1.232266, 1.040000, 1.484402, 1.279092
1.050000, 0.685135, 1.249032, 1.050000, 1.486112, 1.297667
1.060000, 0.697201, 1.265761, 1.060000, 1.498074, 1.316359
1.070000, 0.709641, 1.282457, 1.070000, 1.529534, 1.335167
1.080000, 0.723021, 1.299119, 1.080000, 1.590051, 1.354093
1.090000, 0.737888, 1.315748, 1.090000, 1.683405, 1.373136
1.100000, 0.754693, 1.332345, 1.100000, 1.790876, 1.392296
1.110000, 0.773704, 1.348912, 1.110000, 1.859194, 1.411571
1.120000, 0.794943, 1.365449, 1.120000, 1.854886, 1.430964
1.130000, 0.818174, 1.381957, 1.130000, 1.821853, 1.450473
1.140000, 0.842940, 1.398436, 1.140000, 1.810522, 1.470097
1.150000, 0.868676, 1.414888, 1.150000, 1.826992, 1.489838
1.160000, 0.894810, 1.431314, 1.160000, 1.854049, 1.509695
1.170000, 0.920879, 1.447714, 1.170000, 1.873397, 1.529668
1.180000, 0.946572, 1.464089, 1.180000, 1.875472, 1.549756
1.190000, 0.971765, 1.480440, 1.190000, 1.861875, 1.569960
1.200000, 0.996500, 1.496768, 1.200000, 1.842695, 1.590279
1.210000, 1.020970, 1.513074, 1.210000, 1.832309, 1.610714
1.220000, 1.045476, 1.529358, 1.220000, 1.846860, 1.631264
1.230000, 1.070394, 1.545622, 1.230000, 1.902654, 1.651929
1.240000, 1.096132, 1.561865, 1.240000, 2.005679, 1.672709
1.250000, 1.123057, 1.578090, 1.250000, 2.108601, 1.693603
1.260000, 1.151453, 1.594296, 1.260000, 2.088515, 1.714613
1.270000, 1.181415, 1.610484, 1.270000, 1.953713, 1.735737
1.280000, 1.212834, 1.626656, 1.280000, 1.863714, 1.756976
1.290000, 1.245377, 1.642812, 1.290000, 1.867358, 1.778329
1.300000, 1.278556, 1.658952, 1.300000, 1.930424, 1.799796
1.310000, 1.311841, 1.675078, 1.310000, 2.005700, 1.821378
