CDP Diameter, Qscat (1.54 + 0.01)
   2.07, 3.60949420929
   2.08, 3.60544919968
   2.09, 3.62256026268
    2.1, 3.67350888252
   2.11, 3.75815820694
   2.12, 3.81191325188
   2.13, 3.78842568398
   2.14, 3.75317621231
   2.15, 3.75039243698
   2.16, 3.78861522675
   2.17, 3.86982440948
   2.18, 3.98657560349
   2.19, 4.09708833694
    2.2, 4.13850212097
   2.21, 4.10865259171
   2.22, 4.05239295959
   2.23, 3.99732899666
   2.24, 3.95337033272
   2.25, 3.92988681793
   2.26, 3.93724417686
   2.27,  3.9436442852
   2.28,  3.8831577301
   2.29, 3.79273247719
    2.3, 3.72104501724
   2.31, 3.67966580391
   2.32,  3.6729054451
   2.33,  3.7054810524
   2.34, 3.76667571068
   2.35, 3.80074715614
   2.36, 3.76174020767
   2.37, 3.68180990219
   2.38, 3.59749555588
   2.39, 3.51995658875
    2.4, 3.45449185371
   2.41, 3.40997052193
   2.42, 3.37627625465
   2.43, 3.30127358437
   2.44, 3.19632124901
   2.45, 3.10147070885
   2.46, 3.02793908119
   2.47, 2.97945094109
   2.48, 2.96130180359
   2.49, 2.97597050667
    2.5, 2.99737477303
   2.51, 2.97065782547
   2.52, 2.90172338486
   2.53,  2.8274307251
   2.54, 2.76013851166
   2.55, 2.70295834541
   2.56, 2.66144728661
   2.57, 2.63310337067
   2.58, 2.58491063118
   2.59, 2.51781105995
    2.6, 2.45920991898
   2.61, 2.41757011414
   2.62, 2.39567112923
   2.63, 2.39740204811
   2.64, 2.42669558525
   2.65, 2.47396945953
   2.66, 2.49770188332
   2.67, 2.48583507538
   2.68, 2.46820926666
   2.69, 2.45673012733
    2.7, 2.45369982719
   2.71,  2.4633564949
   2.72, 2.48649501801
   2.73, 2.50375342369
   2.74, 2.51289486885
   2.75, 2.53098011017
   2.76, 2.56365561485
   2.77, 2.61270189285
   2.78,  2.6806576252
   2.79,   2.770611763
    2.8,  2.8796312809
   2.81, 2.98134040833
   2.82, 3.05563664436
   2.83, 3.12046265602
   2.84,  3.1855738163
   2.85,  3.2531952858
   2.86, 3.32774662971
   2.87, 3.41310620308
   2.88, 3.49998641014
   2.89,   3.584451437
    2.9,  3.6757979393
   2.91, 3.77803993225
   2.92, 3.89252209663
   2.93,  4.0208773613
   2.94, 4.16516590118
   2.95, 4.32510948181
   2.96, 4.48751163483
   2.97, 4.63328027725
   2.98, 4.76474380493
   2.99, 4.88553190231
      3, 4.99721288681
   3.01, 5.10476636887
   3.02, 5.21518611908
   3.03, 5.32756853104
   3.04, 5.43795251846
   3.05, 5.55040216446
   3.06, 5.66804981232
   3.07, 5.79226541519
   3.08, 5.92427492142
   3.09, 6.06545972824
    3.1, 6.21665859222
   3.11, 6.37459659576
   3.12,  6.5294046402
   3.13, 6.67232561111
   3.14, 6.79745388031
   3.15,  6.9026594162
   3.16, 6.99132490158
   3.17, 7.07143688202
   3.18, 7.14718151093
   3.19, 7.21606969833
    3.2, 7.27988481522
   3.21, 7.34164381027
   3.22, 7.40340423584
   3.23, 7.46677732468
   3.24, 7.53314065933
   3.25, 7.60368204117
   3.26, 7.68073129654
   3.27, 7.76498126984
   3.28, 7.84669160843
   3.29,  7.9140124321
    3.3, 7.96034860611
   3.31, 7.98588371277
   3.32, 7.99715328217
   3.33, 7.99924659729
   3.34, 7.99072170258
   3.35, 7.97212505341
   3.36, 7.94549560547
   3.37, 7.91274690628
   3.38, 7.87574911118
   3.39, 7.83627843857
    3.4, 7.79608678818
   3.41, 7.76002883911
   3.42, 7.73515033722
   3.43, 7.71666479111
   3.44, 7.69365167618
   3.45, 7.65756082535
   3.46,   7.605717659
   3.47, 7.54234218597
   3.48, 7.47155237198
   3.49, 7.39307165146
    3.5, 7.30705499649
   3.51, 7.21426868439
   3.52, 7.11556768417
   3.53, 7.01198625565
   3.54, 6.90473461151
   3.55, 6.79535722733
   3.56, 6.68871927261
   3.57, 6.59266471863
   3.58, 6.50707530975
   3.59, 6.42567539215
    3.6, 6.34081935883
   3.61,  6.2481751442
   3.62, 6.14984321594
   3.63, 6.04927206039
   3.64, 5.94772768021
   3.65, 5.84561538696
   3.66,  5.7428817749
   3.67, 5.63945770264
   3.68, 5.53551101685
   3.69, 5.43154144287
    3.7,  5.3287525177
   3.71, 5.23089504242
   3.72, 5.14369344711
   3.73, 5.06960535049
   3.74, 5.00710201263
   3.75, 4.95022773743
   3.76, 4.89226579666
   3.77, 4.83171129227
   3.78,  4.7715420723
