CDP Diameter, Qscat (1.54 + 0.003)
   2.07, 3.82933211327
   2.08, 3.80296230316
   2.09, 3.80372428894
    2.1, 3.85736656189
   2.11, 4.02681493759
   2.12, 4.16467046738
   2.13, 4.02512311935
   2.14,   3.917522192
   2.15, 3.89305233955
   2.16, 3.93213438988
   2.17, 4.03741979599
   2.18, 4.22209262848
   2.19,  4.4359254837
    2.2, 4.50096893311
   2.21, 4.41362857819
   2.22, 4.30790758133
   2.23, 4.22163581848
   2.24, 4.15231323242
   2.25, 4.10791540146
   2.26, 4.14319324493
   2.27, 4.27431297302
   2.28, 4.11683082581
   2.29, 3.93043994904
    2.3, 3.81722831726
   2.31, 3.75341534615
   2.32, 3.73726201057
   2.33, 3.78742384911
   2.34, 3.92990088463
   2.35, 4.05122947693
   2.36, 3.96502995491
   2.37, 3.82167673111
   2.38, 3.70168662071
   2.39, 3.59793543816
    2.4, 3.50657224655
   2.41, 3.45562624931
   2.42, 3.52177166939
   2.43, 3.39122366905
   2.44, 3.19305825233
   2.45, 3.05427503586
   2.46, 2.95116209984
   2.47, 2.88031816483
   2.48, 2.85249590874
   2.49, 2.89735221863
    2.5, 3.01531195641
   2.51,  2.9748737812
   2.52, 2.83542561531
   2.53, 2.72612786293
   2.54, 2.63641023636
   2.55, 2.55760884285
   2.56, 2.50294470787
   2.57,  2.5406897068
   2.58, 2.46657633781
   2.59, 2.32825756073
    2.6, 2.23924088478
   2.61, 2.17717504501
   2.62, 2.13921666145
   2.63, 2.13225913048
   2.64, 2.17469358444
   2.65, 2.29914617538
   2.66, 2.35101890564
   2.67,  2.2735555172
   2.68, 2.23127746582
   2.69, 2.20744109154
    2.7, 2.19200968742
   2.71, 2.19376754761
   2.72, 2.26707196236
   2.73, 2.28162837029
   2.74, 2.24840950966
   2.75, 2.25652050972
   2.76, 2.28694009781
   2.77, 2.33686351776
   2.78, 2.41060233116
   2.79, 2.51944375038
    2.8, 2.69288468361
   2.81, 2.86624383926
   2.82, 2.89743447304
   2.83, 2.95536065102
   2.84, 3.02142977715
   2.85, 3.08674764633
   2.86, 3.15954780579
   2.87, 3.28508162498
   2.88, 3.39537525177
   2.89, 3.46610403061
    2.9, 3.56616544724
   2.91,  3.6838684082
   2.92, 3.81656718254
   2.93, 3.96639728546
   2.94, 4.13979053497
   2.95, 4.35453557968
   2.96, 4.60952854156
   2.97, 4.76104927063
   2.98, 4.91055345535
   2.99, 5.04492902756
      3, 5.15875291824
   3.01, 5.26148462296
   3.02, 5.39050865173
   3.03, 5.53968811035
   3.04,  5.6520781517
   3.05, 5.77900934219
   3.06, 5.91730499268
   3.07, 6.06499910355
   3.08,  6.2225985527
   3.09, 6.39309406281
    3.1, 6.58324480057
   3.11, 6.80758619308
   3.12, 7.01727247238
   3.13, 7.20716047287
   3.14, 7.36182880402
   3.15, 7.47436237335
   3.16, 7.55208206177
   3.17,  7.6239027977
   3.18, 7.72871446609
   3.19, 7.79489469528
    3.2, 7.85934114456
   3.21, 7.92548084259
   3.22,  7.9939494133
   3.23, 8.06591320038
   3.24,  8.1432466507
   3.25, 8.22546482086
   3.26, 8.30965328217
   3.27, 8.45304489136
   3.28,  8.5880947113
   3.29, 8.69076919556
    3.3, 8.74589347839
   3.31, 8.75412750244
   3.32, 8.74003219604
   3.33,  8.7531785965
   3.34, 8.73218154907
   3.35, 8.69903659821
   3.36, 8.65702342987
   3.37, 8.60726737976
   3.38, 8.55182743073
   3.39, 8.49374485016
    3.4, 8.43166828156
   3.41, 8.34475135803
   3.42, 8.34059238434
   3.43, 8.34849643707
   3.44, 8.34582328796
   3.45, 8.30814266205
   3.46, 8.22558403015
   3.47, 8.12370586395
   3.48, 8.03668308258
   3.49, 7.93366098404
    3.5, 7.82320737839
   3.51, 7.70534610748
   3.52, 7.57932853699
   3.53, 7.44554615021
   3.54, 7.30601358414
   3.55, 7.15948009491
   3.56,  6.9817700386
   3.57, 6.87000226974
   3.58, 6.78022813797
   3.59,   6.702480793
    3.6,  6.6081700325
   3.61, 6.47414922714
   3.62, 6.32425451279
   3.63, 6.18199539185
   3.64, 6.04485082626
   3.65, 5.91280841827
   3.66, 5.78272724152
   3.67, 5.65232515335
   3.68, 5.52048826218
   3.69, 5.38743686676
    3.7, 5.25223922729
   3.71, 5.10173749924
   3.72, 4.98749542236
   3.73, 4.90056037903
   3.74, 4.84817886353
   3.75, 4.80875444412
   3.76, 4.73656749725
   3.77, 4.62924623489
   3.78, 4.52210617065
   3.79, 4.43418693542
    3.8, 4.36332607269
   3.81, 4.30130147934
   3.82, 4.24279594421
   3.83, 4.18650579453
   3.84, 4.13236427307
   3.85, 4.08166408539
   3.86, 4.03337144852
   3.87, 3.99166321754
   3.88, 3.97153258324
   3.89, 3.99342370033
    3.9, 4.06851196289
   3.91, 4.15357208252
   3.92, 4.17495965958
   3.93, 4.16922807693
   3.94, 4.18328285217
   3.95, 4.22915363312
   3.96, 4.29671192169
   3.97,  4.3697719574
   3.98,  4.4393081665
   3.99, 4.50388050079
      4, 4.57317972183
   4.01, 4.64535617828
   4.02, 4.70319652557
   4.03, 4.76398229599
   4.04, 4.84396982193
   4.05,  4.9788479805
   4.06, 5.19097137451
   4.07, 5.36552238464
   4.08, 5.46463871002
   4.09, 5.54651927948
    4.1, 5.65443372726
   4.11, 5.80115938187
   4.12, 5.97491836548
   4.13, 6.15147018433
   4.14, 6.31471395493
   4.15, 6.48199367523
   4.16, 6.63765716553
   4.17, 6.77057695389
   4.18, 6.88901758194
   4.19, 6.99654197693
    4.2, 7.11970710754
   4.21, 7.31852054596
   4.22,  7.5711774826
   4.23, 7.75593233109
   4.24, 7.86570310593
   4.25, 7.95466327667
   4.26, 8.05732727051
   4.27, 8.19402885437
   4.28, 8.36079216003
   4.29, 8.52897834778
    4.3, 8.70516204834
   4.31, 8.85788249969
   4.32, 8.98679733276
   4.33, 9.09459400177
   4.34, 9.17826080322
   4.35, 9.25115203857
   4.36, 9.33278751373
   4.37,  9.4926404953
   4.38, 9.68484592438
   4.39, 9.80162525177
    4.4, 9.86129760742
   4.41, 9.89193248749
   4.42, 9.91323471069
   4.43, 9.95042991638
   4.44, 10.0177211761
   4.45, 10.1141939163
   4.46, 10.1895465851
   4.47, 10.2389411926
   4.48, 10.2634592056
   4.49, 10.2645397186
    4.5, 10.2533817291
   4.51, 10.2171897888
   4.52, 10.1927747726
   4.53, 10.2514820099
   4.54, 10.3138923645
   4.55, 10.3342905045
   4.56, 10.3239860535
   4.57, 10.2852077484
   4.58, 10.2146472931
   4.59, 10.1451053619
    4.6, 10.1205739975
   4.61, 10.1112880707
   4.62, 10.0866470337
   4.63, 10.0342245102
   4.64, 9.95951652527
   4.65, 9.87001514435
   4.66, 9.76166343689
   4.67, 9.63176441193
   4.68,  9.5214138031
   4.69, 9.46717739105
    4.7, 9.42006587982
   4.71, 9.37044048309
   4.72, 9.31898021698
   4.73, 9.25180721283
   4.74, 9.15520477295
   4.75, 9.04322147369
   4.76, 8.96887111664
   4.77, 8.91303825378
   4.78, 8.84089279175
   4.79, 8.74849700928
    4.8, 8.63812923431
   4.81, 8.51946544647
   4.82, 8.39730262756
   4.83, 8.26159381866
   4.84, 8.13714027405
   4.85, 8.04315280914
   4.86, 7.96839857101
   4.87, 7.91205310822
   4.88, 7.87846517563
   4.89,  7.8615899086
    4.9, 7.81022834778
   4.91, 7.73967695236
   4.92, 7.70085287094
   4.93, 7.66747379303
   4.94, 7.61333847046
   4.95, 7.53480195999
   4.96,  7.4445643425
   4.97, 7.36141061783
   4.98, 7.29989624023
   4.99, 7.22242355347
      5, 7.14090251923
   5.01,  7.0801653862
   5.02, 7.03979873657
   5.03, 7.02891206741
   5.04, 7.05836582184
   5.05, 7.12695026398
   5.06, 7.17866134644
   5.07, 7.22011423111
   5.08, 7.27353715897
   5.09, 7.30716085434
    5.1,  7.3046040535
   5.11, 7.27159166336
   5.12,   7.226790905
   5.13,  7.2130074501
   5.14, 7.23523855209
   5.15, 7.20885467529
   5.16, 7.17699193954
   5.17, 7.15662145615
   5.18,  7.1496758461
   5.19, 7.16153526306
    5.2,  7.2207608223
   5.21, 7.35674285889
   5.22, 7.50189733505
   5.23, 7.64105653763
   5.24, 7.77144527435
   5.25, 7.86670064926
   5.26, 7.91687440872
   5.27, 7.92907094955
   5.28, 7.93728923798
   5.29, 8.02605628967
    5.3, 8.07884025574
   5.31, 8.08473873138
   5.32, 8.08276844025
   5.33, 8.07301998138
   5.34, 8.05222797394
   5.35, 8.02683448792
   5.36, 8.06338691711
   5.37, 8.21521186829
   5.38, 8.36349391937
   5.39, 8.50980186462
    5.4, 8.64453697205
   5.41, 8.74418544769
   5.42, 8.80022144318
   5.43,  8.8226890564
   5.44, 8.91676807404
   5.45, 9.03800868988
   5.46,  9.0935344696
   5.47, 9.12424659729
   5.48, 9.13607788086
   5.49, 9.12152767181
    5.5, 9.06702804565
   5.51, 8.98628902435
   5.52, 9.02840423584
   5.53, 9.12654876709
   5.54, 9.20325756073
   5.55,  9.2857170105
   5.56, 9.35854053497
   5.57, 9.40143203735
   5.58, 9.40601921082
   5.59,  9.4506072998
    5.6, 9.57839107513
   5.61, 9.65602111816
   5.62, 9.70763206482
   5.63, 9.74387931824
   5.64, 9.75834083557
   5.65, 9.73446655273
   5.66, 9.64758968353
   5.67,  9.5952835083
   5.68, 9.66164207458
   5.69, 9.68944358826
    5.7, 9.70861148834
   5.71, 9.73387527466
   5.72, 9.74555397034
   5.73, 9.72320556641
   5.74, 9.71169471741
   5.75, 9.79821777344
   5.76, 9.86038208008
   5.77, 9.90517807007
   5.78, 9.94281768799
   5.79, 9.96869659424
    5.8, 9.97001075745
   5.81, 9.91864299774
   5.82, 9.83907985687
   5.83, 9.88782405853
   5.84, 9.91819190979
   5.85, 9.91688919067
   5.86, 9.91921138763
   5.87, 9.92338943481
   5.88, 9.90534210205
   5.89, 9.88387966156
    5.9, 9.94482040405
   5.91, 9.99716091156
   5.92, 10.0408992767
   5.93, 10.0835027695
   5.94, 10.1186590195
   5.95, 10.1336307526
   5.96, 10.1064748764
   5.97, 10.0299758911
   5.98,  10.048871994
   5.99, 10.0811500549
      6,  10.078669548
   6.01, 10.0693445206
   6.02, 10.0643148422
   6.03, 10.0491771698
   6.04, 10.0315742493
   6.05,  10.076125145
   6.06,  10.117474556
   6.07,  10.158703804
   6.08, 10.2089319229
   6.09, 10.2608966827
    6.1,  10.298491478
   6.11, 10.2993078232
   6.12, 10.2453374863
   6.13, 10.2430400848
   6.14, 10.2611541748
   6.15, 10.2504091263
   6.16, 10.2338314056
   6.17, 10.2176647186
   6.18, 10.1874771118
   6.19, 10.1510906219
    6.2, 10.1575965881
   6.21, 10.1594781876
   6.22, 10.1634168625
   6.23, 10.1820716858
   6.24, 10.2137346268
   6.25, 10.2444219589
   6.26, 10.2506389618
   6.27, 10.2089653015
   6.28, 10.1894283295
   6.29, 10.1800823212
    6.3, 10.1415290833
   6.31, 10.1056251526
   6.32, 10.0900173187
   6.33, 10.0649900436
   6.34, 10.0185070038
   6.35, 9.98708438873
   6.36, 9.94516944885
   6.37, 9.90498828888
   6.38, 9.87727165222
   6.39, 9.86268997192
    6.4,  9.8535118103
   6.41, 9.83179855347
   6.42, 9.77530288696
   6.43, 9.72741508484
   6.44, 9.67618560791
   6.45, 9.58853244781
   6.46, 9.49668312073
   6.47, 9.44659233093
   6.48,  9.4305229187
   6.49, 9.39611148834
    6.5, 9.34462928772
   6.51, 9.27087688446
   6.52, 9.20291996002
   6.53, 9.15879917145
   6.54, 9.13502311707
   6.55, 9.11843490601
   6.56, 9.09426403046
   6.57, 9.04608917236
   6.58, 9.00104808807
   6.59, 8.93944358826
    6.6, 8.83205032349
   6.61, 8.69906520844
   6.62, 8.59152603149
   6.63, 8.56087398529
   6.64, 8.55333995819
   6.65,  8.5058259964
   6.66, 8.41378974915
   6.67,  8.3156671524
   6.68, 8.25125217438
   6.69, 8.23535823822
    6.7, 8.24573135376
   6.71, 8.25675964355
   6.72, 8.25644493103
   6.73, 8.26582813263
   6.74, 8.25818824768
   6.75,  8.2065486908
   6.76, 8.11599159241
   6.77, 8.01553630829
   6.78, 7.98612546921
   6.79, 8.03832912445
    6.8, 8.05038642883
   6.81, 7.99099588394
   6.82, 7.89469957352
   6.83, 7.80687475204
   6.84, 7.77913284302
   6.85, 7.81410074234
   6.86, 7.86652421951
   6.87, 7.91407394409
   6.88, 7.97683382034
   6.89, 8.02974319458
    6.9, 8.05151557922
   6.91, 8.03870677948
   6.92, 7.99792671204
   6.93, 7.99261474609
   6.94, 8.11024093628
   6.95, 8.23041057587
