PCASP Diameter, Qscat (1.54 + 0.01)
    2.1, 2.25714755058
   2.11,  2.3740568161
   2.12, 2.36820316315
   2.13, 2.30381917953
   2.14, 2.25404310226
   2.15, 2.24120759964
   2.16, 2.26945734024
   2.17, 2.33636069298
   2.18, 2.38234567642
   2.19, 2.30804729462
    2.2, 2.20030617714
   2.21, 2.14537143707
   2.22, 2.14585471153
   2.23, 2.20230674744
   2.24, 2.32530355453
   2.25, 2.50078105927
   2.26, 2.62985706329
   2.27,  2.6399731636
   2.28, 2.60760068893
   2.29,  2.5976896286
    2.3, 2.62094974518
   2.31, 2.67620038986
   2.32, 2.75208210945
   2.33, 2.77574491501
   2.34, 2.71218776703
   2.35, 2.65500736237
   2.36, 2.63218665123
   2.37,  2.6395907402
   2.38, 2.68374705315
   2.39, 2.78206038475
    2.4, 2.92678642273
   2.41, 3.01741814613
   2.42, 3.00574755669
   2.43, 2.98155832291
   2.44, 2.98929810524
   2.45, 3.02780771255
   2.46, 3.09005570412
   2.47, 3.15265035629
   2.48, 3.15992879868
   2.49, 3.13599681854
    2.5, 3.12395977974
   2.51, 3.12413787842
   2.52, 3.13540506363
   2.53, 3.16578936577
   2.54, 3.23099994659
   2.55, 3.32176208496
   2.56, 3.35903215408
   2.57, 3.33985590935
   2.58, 3.33173918724
   2.59, 3.35329008102
    2.6, 3.40109348297
   2.61,  3.4659409523
   2.62,  3.5108499527
   2.63,  3.5134344101
   2.64, 3.51338100433
   2.65, 3.52019476891
   2.66, 3.52908229828
   2.67, 3.54017329216
   2.68, 3.56118822098
   2.69, 3.60385394096
    2.7, 3.64298200607
   2.71, 3.62007761002
   2.72, 3.57821941376
   2.73, 3.56505775452
   2.74, 3.58712887764
   2.75, 3.64138054848
   2.76, 3.70955371857
   2.77, 3.74684810638
   2.78,  3.7649974823
   2.79, 3.78883671761
    2.8, 3.81616067886
   2.81, 3.84276199341
   2.82, 3.86887145042
   2.83, 3.90120220184
   2.84,  3.9449634552
   2.85, 3.95858883858
   2.86, 3.91478323936
   2.87, 3.86767053604
   2.88, 3.84837603569
   2.89, 3.86381721497
    2.9, 3.91065478325
   2.91, 3.96536040306
   2.92, 4.01218795776
   2.93, 4.06331014633
   2.94, 4.11988210678
   2.95, 4.17825841904
   2.96, 4.23664426804
   2.97, 4.29559707642
   2.98, 4.35795116425
   2.99, 4.41612100601
      3, 4.43689918518
   3.01, 4.42377376556
   3.02, 4.40520954132
   3.03, 4.39937877655
   3.04,  4.4159913063
   3.05, 4.45209789276
   3.06, 4.49618244171
   3.07, 4.54913282394
   3.08, 4.61059427261
   3.09, 4.67646217346
    3.1, 4.74370670319
   3.11, 4.81091928482
   3.12, 4.87706184387
   3.13, 4.93690109253
   3.14, 4.97254323959
   3.15, 4.97255659103
   3.16,  4.9444437027
   3.17, 4.90183162689
   3.18, 4.86218070984
   3.19, 4.83768320084
    3.2, 4.82978200912
   3.21, 4.83922100067
   3.22,  4.8655424118
   3.23, 4.90489578247
   3.24, 4.95337247849
   3.25,  5.0081949234
   3.26, 5.06748151779
   3.27, 5.12732458115
   3.28, 5.17339420319
   3.29, 5.18816041946
    3.3, 5.16728878021
   3.31, 5.11160373688
   3.32, 5.03445720673
   3.33, 4.95624160767
   3.34, 4.88977432251
   3.35, 4.84114170074
