PCASP Diameter, Qscat (1.54 + 0)
   2.11, 4.05368375778
   2.12, 3.78156971931
   2.13, 3.35322260857
   2.14, 3.12227988243
   2.15, 3.04142427444
   2.16, 3.08542394638
   2.17, 3.38552570343
   2.18, 4.47001934052
   2.19,  3.6812953949
    2.2, 3.01772689819
   2.21, 2.88610363007
   2.22, 2.89809894562
   2.23, 3.01579904556
   2.24,  3.3224978447
   2.25, 4.04364156723
   2.26, 4.72541284561
   2.27, 4.21205615997
   2.28, 3.77386903763
   2.29, 3.61856532097
    2.3,  3.6050658226
   2.31, 3.71200966835
   2.32, 4.20856332779
   2.33, 5.42291307449
   2.34, 3.92949724197
   2.35, 3.67184591293
   2.36, 3.63913154602
   2.37,  3.6727411747
   2.38, 3.77590298653
   2.39, 4.06028175354
    2.4, 4.94917535782
   2.41, 5.57368516922
   2.42, 4.66321325302
   2.43, 4.28402519226
   2.44, 4.18887472153
   2.45, 4.21284818649
   2.46, 4.36799383163
   2.47, 5.36716175079
   2.48, 4.95388126373
   2.49, 4.41333818436
    2.5, 4.37269830704
   2.51, 4.40073871613
   2.52, 4.46047210693
   2.53, 4.56872987747
   2.54, 4.85191631317
   2.55, 6.00342702866
   2.56, 5.88210296631
   2.57, 5.05460548401
   2.58, 4.83451366425
   2.59, 4.78896903992
    2.6, 4.83574676514
   2.61, 5.10444164276
   2.62, 6.68223333359
   2.63, 5.03591918945
   2.64, 4.96905899048
   2.65,  5.0006275177
   2.66, 5.05701780319
   2.67, 5.13428688049
   2.68, 5.25648450851
   2.69, 5.62190437317
    2.7, 7.31551170349
   2.71,  5.8259935379
   2.72, 5.35949134827
   2.73, 5.22117185593
   2.74, 5.19388914108
   2.75, 5.27307271957
   2.76, 6.41755390167
   2.77, 5.57850790024
   2.78, 5.41874217987
   2.79, 5.46531629562
    2.8, 5.54383659363
   2.81,  5.6421122551
   2.82, 5.76499223709
   2.83, 5.94584798813
   2.84, 6.66306066513
   2.85, 7.36611700058
   2.86, 6.24673128128
   2.87, 5.96720600128
   2.88, 5.81416749954
   2.89, 5.75678682327
    2.9, 5.91418075562
   2.91, 6.33512353897
   2.92, 5.90570497513
   2.93, 5.95153570175
