PCASP Diameter, Qscat (1.54 + 0.003)
   2.11, 3.35556435585
   2.12, 3.23250341415
   2.13, 2.98310208321
   2.14, 2.82949471474
   2.15,   2.776720047
   2.16, 2.81966495514
   2.17,  3.0246784687
   2.18,  3.4133477211
   2.19, 3.10745334625
    2.2, 2.74644088745
   2.21, 2.63902831078
   2.22, 2.64397144318
   2.23, 2.73986625671
   2.24, 2.97786211967
   2.25, 3.43367290497
   2.26, 3.79031968117
   2.27, 3.60183119774
   2.28, 3.36851835251
   2.29, 3.27433228493
    2.3, 3.27712416649
   2.31, 3.37087059021
   2.32, 3.65804481506
   2.33, 3.93140172958
   2.34, 3.50091791153
   2.35,  3.3301243782
   2.36, 3.29562139511
   2.37, 3.31663537025
   2.38, 3.39805793762
   2.39, 3.61171364784
    2.4, 4.09405708313
   2.41, 4.36948680878
   2.42, 4.04271507263
   2.43, 3.83480596542
   2.44, 3.78132295609
   2.45, 3.81389188766
   2.46, 3.93817186356
   2.47, 4.27556610107
   2.48, 4.19162988663
   2.49, 3.98096323013
    2.5, 3.94758415222
   2.51, 3.96146082878
   2.52,  3.9995238781
   2.53, 4.07614564896
   2.54, 4.26747274399
   2.55,  4.7246465683
   2.56, 4.74881076813
   2.57, 4.43390989304
   2.58, 4.30868721008
   2.59, 4.29232215881
    2.6, 4.34647512436
   2.61, 4.52333831787
   2.62, 4.76339578629
   2.63, 4.51631736755
   2.64, 4.47386932373
   2.65, 4.49306440353
   2.66,  4.5288438797
   2.67, 4.57729768753
   2.68, 4.65777826309
   2.69, 4.87077903748
    2.7, 5.27549409866
   2.71, 4.96929740906
   2.72, 4.72183132172
   2.73, 4.63525676727
   2.74, 4.63309001923
   2.75, 4.71746206284
   2.76, 5.01602554321
   2.77, 4.92971754074
   2.78, 4.85518169403
   2.79, 4.88816404343
    2.8, 4.94602298737
   2.81, 5.01512145996
   2.82, 5.09708356857
   2.83, 5.21737718582
   2.84, 5.53284788132
   2.85, 5.72265815735
   2.86, 5.37836170197
   2.87, 5.19670391083
   2.88, 5.10399484634
   2.89, 5.08587265015
    2.9, 5.19179964066
   2.91, 5.31486463547
   2.92, 5.24874258041
   2.93, 5.29444789886
   2.94, 5.37049245834
   2.95, 5.46190881729
   2.96, 5.56988668442
   2.97, 5.70298624039
   2.98, 5.89965724945
   2.99,  6.2883644104
      3, 6.23373842239
   3.01,  6.1239771843
   3.02, 6.02832126617
   3.03, 5.95126152039
   3.04, 5.93712282181
