CAS Diameter, Qscat (1.33 + 0)
   2.17, 1.88386869431
   2.18, 1.82491266727
   2.19, 1.75857627392
    2.2, 1.68783760071
   2.21, 1.61581027508
   2.22, 1.54582083225
   2.23, 1.48147130013
   2.24, 1.42658030987
   2.25, 1.38502037525
   2.26, 1.36017394066
   2.27, 1.35390925407
   2.28, 1.36501550674
   2.29, 1.38798940182
    2.3, 1.41366875172
   2.31, 1.43242752552
   2.32, 1.43793642521
   2.33,  1.4285159111
   2.34, 1.40576422215
   2.35, 1.37246716022
   2.36,  1.3314589262
   2.37, 1.28541827202
   2.38, 1.23711240292
   2.39, 1.18959677219
    2.4, 1.14629280567
   2.41, 1.11094224453
   2.42,  1.0875095129
   2.43, 1.07995021343
   2.44, 1.09164893627
   2.45, 1.12419331074
   2.46, 1.17545235157
   2.47,  1.2380399704
   2.48, 1.30056416988
   2.49, 1.35256743431
    2.5,  1.3893198967
   2.51, 1.41197037697
   2.52, 1.42410683632
   2.53,  1.4289778471
   2.54,  1.4289150238
   2.55, 1.42601025105
   2.56, 1.42279934883
   2.57, 1.42249572277
   2.58,  1.4288867712
   2.59, 1.44610655308
    2.6, 1.47845160961
   2.61, 1.53011214733
   2.62, 1.60455012321
   2.63, 1.70294713974
   2.64, 1.82150483131
   2.65,  1.9493086338
   2.66, 2.07083559036
   2.67, 2.17444682121
   2.68, 2.25864577293
   2.69, 2.32906603813
    2.7, 2.39148521423
   2.71, 2.44875001907
   2.72,  2.5018594265
   2.73, 2.55207514763
   2.74,  2.6019949913
   2.75, 2.65547728539
   2.76, 2.71709895134
   2.77, 2.79161119461
   2.78, 2.88375210762
   2.79, 2.99807596207
    2.8, 3.13849878311
   2.81, 3.30640816689
   2.82, 3.49673700333
   2.83,   3.694034338
   2.84, 3.87654256821
   2.85, 4.03080749512
   2.86, 4.16029071808
   2.87, 4.27624797821
   2.88, 4.38595342636
   2.89, 4.49034023285
    2.9, 4.58802747726
   2.91,  4.6792640686
   2.92,  4.7672996521
   2.93,  4.8574681282
   2.94, 4.95571613312
   2.95, 5.06765270233
   2.96, 5.19848585129
   2.97, 5.35318851471
   2.98, 5.53635597229
   2.99, 5.75049114227
      3, 5.99057674408
   3.01, 6.23708820343
   3.02, 6.46053266525
   3.03, 6.64505147934
   3.04, 6.79990530014
   3.05, 6.94154930115
   3.06,  7.0769276619
   3.07, 7.20352506638
   3.08,  7.3167386055
   3.09, 7.41590547562
    3.1, 7.50553750992
   3.11, 7.59315729141
   3.12, 7.68652677536
   3.13, 7.79228258133
   3.14,  7.9159784317
   3.15, 8.06283950806
   3.16,  8.2382478714
   3.17, 8.44654750824
   3.18, 8.68478775024
   3.19, 8.93189430237
    3.2,  9.1523399353
   3.21, 9.32938480377
   3.22,  9.4778585434
   3.23, 9.61616516113
   3.24, 9.74829864502
   3.25, 9.86725902557
   3.26, 9.96486473083
   3.27, 10.0392303467
   3.28, 10.0959787369
   3.29, 10.1443414688
    3.3, 10.1931915283
   3.31, 10.2495470047
   3.32, 10.3190126419
   3.33, 10.4067764282
   3.34, 10.5185585022
   3.35, 10.6600399017
   3.36, 10.8308525085
   3.37, 11.0109519958
   3.38, 11.1643323898
   3.39, 11.2795658112
    3.4, 11.3758602142
   3.41,  11.468290329
   3.42, 11.5558996201
   3.43, 11.6284265518
   3.44, 11.6761703491
   3.45, 11.6977233887
   3.46, 11.7000427246
   3.47, 11.6926021576
   3.48,  11.683131218
   3.49,  11.676987648
    3.5, 11.6783304214
   3.51, 11.6911878586
   3.52, 11.7202367783
   3.53, 11.7700166702
   3.54, 11.8387708664
   3.55, 11.9056558609
   3.56, 11.9430465698
   3.57, 11.9561481476
   3.58, 11.9654388428
   3.59, 11.9762592316
    3.6, 11.9805765152
   3.61, 11.9658031464
   3.62, 11.9244775772
   3.63, 11.8608961105
   3.64, 11.7864179611
   3.65, 11.7105131149
   3.66, 11.6382265091
   3.67, 11.5721998215
   3.68, 11.5146894455
   3.69, 11.4686050415
    3.7,  11.437456131
   3.71, 11.4225063324
   3.72, 11.4119462967
   3.73, 11.3727064133
   3.74, 11.2969398499
   3.75, 11.2203235626
   3.76, 11.1582736969
   3.77, 11.1011247635
   3.78,  11.030175209
   3.79, 10.9262304306
    3.8, 10.7846240997
   3.81, 10.6227035522
   3.82, 10.4621067047
   3.83, 10.3134870529
   3.84, 10.1789770126
   3.85, 10.0589408875
   3.86, 9.95504570007
   3.87, 9.87121772766
   3.88,  9.8130197525
   3.89, 9.78087329865
    3.9, 9.74234199524
   3.91, 9.62931251526
   3.92, 9.47305202484
   3.93, 9.35133743286
   3.94, 9.26849555969
   3.95, 9.20129394531
   3.96, 9.11825466156
   3.97, 8.98244762421
   3.98,  8.7839679718
   3.99, 8.55879020691
      4,  8.3448343277
   4.01, 8.15417671204
   4.02, 7.98574113846
   4.03, 7.83809328079
   4.04, 7.71382284164
   4.05, 7.62069606781
   4.06, 7.57271194458
   4.07, 7.57923078537
   4.08, 7.57356214523
   4.09, 7.41789579391
    4.1, 7.21983861923
   4.11, 7.09504985809
   4.12, 7.03431940079
   4.13, 7.01129484177
   4.14, 6.98685932159
   4.15, 6.89422273636
   4.16, 6.70128393173
   4.17, 6.46684741974
   4.18, 6.25084114075
   4.19, 6.06683349609
    4.2, 5.91030788422
   4.21, 5.77820014954
   4.22, 5.67378950119
   4.23, 5.60987567902
   4.24, 5.61574983597
   4.25, 5.72790956497
   4.26, 5.81776809692
   4.27,  5.6507525444
   4.28, 5.46361207962
   4.29, 5.37428379059
    4.3, 5.36439943314
   4.31, 5.41910457611
   4.32, 5.50648498535
   4.33, 5.52175521851
   4.34, 5.38687372208
   4.35, 5.18676757812
   4.36, 5.00616645813
   4.37, 4.85999965668
   4.38, 4.74176216125
   4.39, 4.64730548859
    4.4, 4.58020114899
   4.41, 4.55788660049
   4.42, 4.63329982758
   4.43, 4.90154123306
   4.44, 5.10417222977
   4.45, 4.95606184006
   4.46,  4.8325009346
   4.47,  4.8060259819
   4.48, 4.85924243927
   4.49, 5.00035142899
    4.5, 5.22718000412
   4.51, 5.39553165436
   4.52, 5.35711288452
   4.53, 5.22742271423
   4.54, 5.10995006561
   4.55,  5.0193157196
   4.56, 4.94864368439
   4.57, 4.89312124252
   4.58, 4.85490369797
   4.59, 4.85318279266
    4.6, 4.97565174103
   4.61, 5.42465543747
   4.62, 5.66968631744
   4.63,  5.5663690567
   4.64, 5.51849365234
   4.65, 5.54514360428
   4.66, 5.63616800308
   4.67, 5.82632827759
   4.68, 6.17128133774
   4.69, 6.49108934402
    4.7, 6.55487823486
   4.71, 6.51207971573
   4.72, 6.46899080276
   4.73, 6.43833494186
   4.74, 6.41411399841
   4.75, 6.39033794403
   4.76, 6.36429357529
   4.77, 6.34935617447
   4.78, 6.49110555649
   4.79, 7.12663030624
    4.8, 7.30932044983
   4.81, 7.27080535889
   4.82, 7.28108644485
   4.83, 7.33199739456
   4.84, 7.41576910019
   4.85,  7.5875120163
   4.86, 7.99476194382
   4.87, 8.41753005981
   4.88, 8.55316448212
   4.89, 8.58035087585
    4.9, 8.59174442291
   4.91, 8.59896945953
   4.92, 8.59775733948
   4.93, 8.58027076721
   4.94, 8.53382873535
   4.95, 8.45126819611
   4.96, 8.61766815186
   4.97, 9.32567977905
