CAS Diameter, Qscat (1.54 + 0.01)
   2.18, 4.00869226456
   2.19, 4.06977367401
    2.2, 4.05120706558
   2.21, 4.01229047775
   2.22, 4.00273275375
   2.23, 4.03355741501
   2.24, 4.10720539093
   2.25, 4.22048950195
   2.26, 4.34401035309
   2.27, 4.41504812241
   2.28, 4.40590000153
   2.29, 4.35337924957
    2.3, 4.29407215118
   2.31, 4.24243593216
   2.32, 4.20617198944
   2.33, 4.19665813446
   2.34, 4.21319580078
   2.35, 4.19504737854
   2.36, 4.11176872253
   2.37, 4.02195310593
   2.38, 3.95722293854
   2.39, 3.92405819893
    2.4, 3.92690730095
   2.41, 3.96926784515
   2.42, 4.03323936462
   2.43, 4.05799198151
   2.44, 4.00963163376
   2.45, 3.92548727989
   2.46, 3.83856797218
   2.47,  3.7586479187
   2.48,  3.6908326149
   2.49, 3.64382553101
    2.5, 3.61007642746
   2.51,  3.5383040905
   2.52, 3.43079781532
   2.53,  3.3296020031
   2.54, 3.24882745743
   2.55, 3.19222354889
   2.56, 3.16446638107
   2.57, 3.17018389702
   2.58, 3.19639444351
   2.59, 3.19113707542
    2.6, 3.13178038597
   2.61, 3.05434441566
   2.62, 2.98096179962
   2.63, 2.91622543335
   2.64, 2.86392784119
   2.65, 2.82924199104
   2.66, 2.79617166519
   2.67, 2.73517918587
   2.68, 2.66669034958
   2.69, 2.61121582985
    2.7, 2.57358121872
   2.71, 2.55654382706
   2.72, 2.56421780586
   2.73, 2.59955263138
   2.74, 2.64814805984
   2.75, 2.66745710373
   2.76, 2.65344524384
   2.77, 2.63542175293
   2.78, 2.62371587753
   2.79, 2.62045359612
    2.8, 2.62973713875
   2.81, 2.65310668945
   2.82, 2.67256784439
   2.83, 2.68189406395
   2.84, 2.69826865196
   2.85, 2.72877645493
   2.86, 2.77524328232
   2.87, 2.83985447884
   2.88, 2.92569208145
   2.89, 3.03330850601
    2.9, 3.14587593079
   2.91, 3.23293447495
   2.92, 3.30175995827
   2.93, 3.36855268478
   2.94, 3.43678593636
   2.95, 3.50926756859
   2.96, 3.59124541283
   2.97, 3.68199682236
   2.98, 3.76995396614
   2.99, 3.85874032974
      3, 3.95640707016
   3.01, 4.06543970108
   3.02, 4.18707323074
   3.03, 4.32302331924
   3.04, 4.47525024414
   3.05, 4.64231061935
   3.06,  4.8089094162
   3.07, 4.95800542831
   3.08, 5.09325885773
   3.09, 5.21789646149
    3.1, 5.33341407776
   3.11, 5.44456338882
   3.12, 5.55828952789
   3.13, 5.67459487915
   3.14, 5.78878736496
   3.15, 5.90428543091
   3.16, 6.02458143234
   3.17, 6.15121603012
   3.18, 6.28528690338
   3.19, 6.42814493179
    3.2, 6.58094549179
   3.21, 6.74252033234
   3.22, 6.90517139435
   3.23, 7.05910491943
   3.24,  7.1976108551
   3.25, 7.31654500961
   3.26, 7.41647005081
   3.27,  7.5031003952
   3.28, 7.58422470093
   3.29, 7.66002607346
    3.3, 7.72904443741
   3.31, 7.79405736923
   3.32, 7.85769224167
   3.33, 7.92176914215
   3.34, 7.98779249191
   3.35, 8.05704689026
   3.36, 8.13070106506
   3.37, 8.21127605438
   3.38, 8.29865550995
   3.39, 8.38267707825
    3.4, 8.45198154449
   3.41, 8.50026321411
   3.42, 8.52759361267
   3.43, 8.54011821747
   3.44, 8.54341030121
   3.45, 8.53625869751
   3.46, 8.51875114441
   3.47,   8.492811203
   3.48, 8.46033096313
   3.49, 8.42311763763
    3.5, 8.38293170929
   3.51, 8.34136772156
   3.52, 8.30147361755
   3.53, 8.27079582214
   3.54,  8.2501783371
   3.55, 8.22996902466
   3.56, 8.20028781891
   3.57, 8.15530014038
   3.58, 8.09574699402
   3.59, 8.02702522278
    3.6,  7.9510269165
   3.61, 7.86722946167
   3.62, 7.77612829208
   3.63, 7.67849445343
   3.64, 7.57518291473
   3.65, 7.46725749969
   3.66, 7.35588550568
   3.67, 7.24279022217
   3.68, 7.13341856003
   3.69, 7.03510713577
    3.7, 6.94702100754
   3.71, 6.86293983459
   3.72, 6.77539825439
