CAS Diameter, Qscat (1.54 + 0.003)
   2.18, 4.28749847412
   2.19, 4.44997644424
    2.2, 4.31884765625
   2.21, 4.19477033615
   2.22, 4.15713310242
   2.23, 4.18494129181
   2.24, 4.27656126022
   2.25,  4.4455871582
   2.26, 4.67349672318
   2.27, 4.80878973007
   2.28, 4.75700044632
   2.29,  4.6448469162
    2.3, 4.54689836502
   2.31, 4.46753978729
   2.32, 4.40608978271
   2.33, 4.38713359833
   2.34,  4.4915599823
   2.35, 4.53320503235
   2.36,  4.3136510849
   2.37, 4.15059137344
   2.38, 4.05135440826
   2.39, 3.99858736992
    2.4, 3.99634122849
   2.41, 4.06756258011
   2.42,  4.2288646698
   2.43, 4.32621479034
   2.44, 4.21821308136
   2.45, 4.07131052017
   2.46, 3.94863319397
   2.47, 3.84170842171
   2.48, 3.74708986282
   2.49, 3.69090461731
    2.5, 3.75454926491
   2.51, 3.65156793594
   2.52, 3.43772482872
   2.53, 3.28621315956
   2.54, 3.17305922508
   2.55, 3.09151411057
   2.56, 3.04884433746
   2.57, 3.06796336174
   2.58, 3.17857861519
   2.59,  3.2224316597
    2.6,  3.0870988369
   2.61, 2.95966386795
   2.62, 2.85978341103
   2.63, 2.77282381058
   2.64, 2.69907879829
   2.65, 2.67295384407
   2.66, 2.72156715393
   2.67, 2.57292366028
   2.68, 2.45123767853
   2.69, 2.36926651001
    2.7, 2.31184864044
   2.71, 2.27955079079
   2.72, 2.28104138374
   2.73, 2.33800625801
   2.74, 2.47632169724
   2.75, 2.50308918953
   2.76, 2.42373895645
   2.77, 2.38181304932
   2.78, 2.35741877556
   2.79, 2.34134101868
    2.8, 2.34166049957
   2.81,  2.4091053009
   2.82, 2.44482731819
   2.83, 2.40306663513
   2.84, 2.40617775917
   2.85, 2.43346953392
   2.86, 2.48006653786
   2.87, 2.54883718491
   2.88, 2.64830517769
   2.89,  2.8001768589
    2.9, 3.01446390152
   2.91, 3.07991027832
   2.92, 3.12573003769
   2.93,  3.1930668354
   2.94, 3.26068973541
   2.95, 3.32983636856
   2.96, 3.41776990891
   2.97, 3.57690668106
   2.98, 3.64861130714
   2.99,   3.733938694
      3, 3.84374165535
   3.01, 3.96968960762
   3.02, 4.11079549789
   3.03, 4.27002859116
   3.04, 4.45484495163
   3.05, 4.68612575531
   3.06, 4.94275856018
   3.07, 5.09523391724
   3.08, 5.24966716766
   3.09, 5.38814163208
    3.1,  5.5060095787
   3.11, 5.61231040955
   3.12, 5.73915243149
   3.13, 5.90130233765
   3.14, 6.01607370377
   3.15, 6.14477109909
   3.16, 6.28548622131
   3.17, 6.43584108353
   3.18, 6.59569978714
   3.19, 6.76730966568
    3.2, 6.95566129684
   3.21, 7.17397499084
   3.22, 7.40397548676
   3.23, 7.60893535614
   3.24, 7.78817939758
   3.25,   7.925760746
   3.26, 8.02409934998
   3.27, 8.09206485748
   3.28, 8.19404411316
   3.29, 8.28032684326
    3.3, 8.34688568115
   3.31, 8.41393947601
   3.32,  8.4828710556
   3.33, 8.55434608459
   3.34, 8.62969779968
   3.35, 8.71076202393
   3.36, 8.79567909241
   3.37, 8.88704681396
   3.38, 9.03750038147
   3.39, 9.17601299286
    3.4, 9.28151416779
   3.41,  9.3393535614
   3.42, 9.35026454926
   3.43, 9.33199882507
   3.44, 9.34945201874
   3.45, 9.33061408997
   3.46, 9.29816436768
   3.47, 9.25658988953
   3.48, 9.20698070526
   3.49,   9.151014328
    3.5, 9.09149837494
   3.51, 9.03019046783
   3.52, 8.94718170166
   3.53,  8.9039516449
   3.54, 8.91240978241
   3.55, 8.91773414612
   3.56, 8.89970397949
   3.57,  8.8395242691
   3.58, 8.73445796967
   3.59, 8.64355754852
    3.6, 8.54552268982
   3.61,   8.436211586
   3.62, 8.31984233856
   3.63, 8.19581413269
   3.64, 8.06356906891
   3.65, 7.92387628555
   3.66, 7.77888393402
   3.67, 7.62460041046
   3.68, 7.44247198105
   3.69, 7.33078765869
    3.7, 7.23878240585
   3.71, 7.15855741501
   3.72,  7.0618596077
   3.73, 6.92558240891
   3.74, 6.76973247528
   3.75, 6.62243747711
   3.76, 6.47971868515
   3.77, 6.34254837036
   3.78, 6.20793676376
   3.79, 6.07340860367
    3.8, 5.93762350082
   3.81, 5.80039167404
   3.82, 5.66244268417
   3.83,  5.5095000267
   3.84,  5.3750295639
   3.85, 5.27192592621
   3.86, 5.20083999634
   3.87, 5.15924072266
   3.88, 5.10720014572
   3.89, 5.01402664185
    3.9, 4.89857959747
   3.91, 4.79434108734
   3.92, 4.71018505096
   3.93, 4.64058113098
   3.94,  4.5777888298
   3.95,  4.5178937912
   3.96, 4.46017026901
   3.97,  4.4046330452
   3.98, 4.35300397873
   3.99, 4.30305194855
      4,  4.2610373497
   4.01, 4.24148035049
   4.02, 4.26451921463
   4.03, 4.34118843079
   4.04, 4.43123531342
   4.05, 4.45898294449
   4.06, 4.45296573639
   4.07, 4.46272325516
   4.08, 4.50437116623
   4.09, 4.57083511353
    4.1, 4.64623498917
   4.11, 4.71948862076
   4.12, 4.78778886795
   4.13, 4.85394334793
   4.14, 4.93447065353
   4.15, 4.99672317505
   4.16, 5.05682325363
   4.17, 5.12681388855
   4.18, 5.23109865189
   4.19, 5.41262340546
