CAS Diameter, Qscat (1.54 + 0)
   2.18, 4.41317129135
   2.19, 4.72321510315
    2.2,  4.4427781105
   2.21,   4.265437603
   2.22, 4.21862363815
   2.23, 4.24614953995
   2.24, 4.34453439713
   2.25, 4.54093933105
   2.26, 4.84538078308
   2.27,  5.0388212204
   2.28, 4.94159555435
   2.29, 4.78648090363
    2.3, 4.66881322861
   2.31, 4.57628488541
   2.32, 4.49860858917
   2.33, 4.45787620544
   2.34, 4.62741088867
   2.35, 4.78814554214
   2.36,  4.3989481926
   2.37, 4.20156383514
   2.38, 4.08886480331
   2.39, 4.02590179443
    2.4, 4.01691532135
   2.41, 4.09593772888
   2.42, 4.33137226105
   2.43, 4.51172590256
   2.44, 4.33124113083
   2.45, 4.14131975174
   2.46, 4.00317668915
   2.47, 3.88435769081
   2.48,  3.7725288868
   2.49, 3.69002747536
    2.5, 3.89606165886
   2.51, 3.73447775841
   2.52, 3.43330526352
   2.53, 3.26304316521
   2.54, 3.13551950455
   2.55, 3.04006767273
   2.56, 2.98522090912
   2.57, 3.00180125237
   2.58, 3.18487524986
   2.59, 3.30165171623
    2.6,  3.0684261322
   2.61, 2.91382527351
   2.62, 2.80435776711
   2.63, 2.70692610741
   2.64, 2.61664056778
   2.65, 2.56971096992
   2.66, 2.85454177856
   2.67, 2.48899245262
   2.68,  2.3462331295
   2.69,  2.2553217411
    2.7,  2.1884021759
   2.71, 2.14656472206
   2.72, 2.14018559456
   2.73, 2.19882273674
   2.74,  2.4404592514
   2.75, 2.46692109108
   2.76, 2.31088066101
   2.77,  2.2628493309
   2.78, 2.23419547081
   2.79, 2.21000766754
    2.8, 2.19522976875
   2.81, 2.28946757317
   2.82, 2.36079454422
   2.83, 2.26576972008
   2.84, 2.26858735085
   2.85,   2.296210289
   2.86, 2.34245491028
   2.87, 2.41105914116
   2.88, 2.51218533516
   2.89, 2.67769861221
    2.9, 3.06875038147
   2.91, 3.01624107361
   2.92, 3.04635548592
   2.93, 3.11795282364
   2.94,  3.1835231781
   2.95, 3.24610495567
   2.96, 3.31570720673
   2.97, 3.73184895515
   2.98, 3.59152555466
   2.99, 3.67790007591
      3, 3.79688811302
   3.01, 3.93241238594
   3.02, 4.08281755447
   3.03, 4.25157737732
   3.04, 4.44756364822
   3.05,  4.7065448761
   3.06, 5.13266277313
   3.07, 5.17984342575
   3.08, 5.34945678711
   3.09, 5.49284219742
    3.1,  5.6056265831
   3.11, 5.70045042038
   3.12, 5.78335428238
   3.13, 6.04343938828
   3.14, 6.13367986679
   3.15,  6.2701921463
   3.16, 6.42309951782
   3.17,  6.5866894722
   3.18, 6.75980234146
   3.19, 6.94489574432
    3.2,  7.1487121582
   3.21, 7.41260051727
   3.22, 7.69245290756
   3.23, 7.91435146332
   3.24, 8.11853981018
   3.25,  8.2613363266
   3.26, 8.35158824921
   3.27, 8.39549446106
   3.28, 8.59827136993
   3.29,  8.6057062149
    3.3, 8.66393375397
   3.31, 8.73135566711
   3.32, 8.80330467224
   3.33, 8.87897872925
   3.34, 8.95946216583
